id,l1,l2,useful_ratio,waste_cat,waste_root,pred_len
696,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1221
697,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1035
698,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1203
699,Correct,N/A,0.05,Over-Verbose / Padding,Excessive Narrative Detail,31838
700,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1709
701,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1989
702,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,987
703,Correct,N/A,0.5,Over-Verbose / Padding,Excessive Narrative Detail,1632
704,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,825
705,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,756
706,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,739
707,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1529
708,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Over-Verbose / Padding,Excessive Narrative Detail,896
709,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,3393
710,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1300
711,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1182
712,Visual Perception Failure,Action / Event Misperception,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1568
713,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,2029
714,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.05,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,628
715,Visual Perception Failure,Action / Event Misperception,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1661
716,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1554
717,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1864
718,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.4,Hallucination / Fabrication,Fabricated Timeline or Events,1443
719,Correct,N/A,0.6,Over-Verbose / Padding,Redundant Restatement,2163
720,Correct,N/A,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1319
721,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,420
722,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,501
723,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,3086
724,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,2039
725,Correct,N/A,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1982
726,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1496
727,Correct,N/A,0.5,Over-Verbose / Padding,Unnecessary Background & Commentary,486
728,Correct,N/A,0.7,Over-Verbose / Padding,Excessive Narrative Detail,2528
729,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,498
730,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,672
731,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,320
732,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,653
733,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,703
734,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Hallucination / Fabrication,Fabricated Timeline or Events,2134
735,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,962
736,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1722
737,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,344
738,Correct,N/A,0.6,Over-Verbose / Padding,Unnecessary Background & Commentary,1914
739,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,689
740,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,357
741,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,312
742,Visual Perception Failure,Action / Event Misperception,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,639
743,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1833
744,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,1733
745,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,2005
746,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1519
747,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Under-Specified Grounding / Weak Localization,Vague or Rough Localization,159
748,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.3,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,951
749,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.1,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,468
750,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,618
751,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.4,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,427
752,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1089
753,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Under-Specified Grounding / Weak Localization,Temporal Imprecision or Misalignment,407
754,Visual Perception Failure,Action / Event Misperception,0.4,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1566
755,Visual Perception Failure,Action / Event Misperception,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,292
756,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,1507
757,Correct,N/A,0.7,Over-Verbose / Padding,Unnecessary Background & Commentary,506
758,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Over-Verbose / Padding,Unnecessary Background & Commentary,554
759,Visual Perception Failure,Action / Event Misperception,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,548
760,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,868
761,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.6,Over-Verbose / Padding,Excessive Narrative Detail,1644
762,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,524
763,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Hallucination / Fabrication,Fabricated Causal Stories,442
764,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,672
765,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1382
766,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1529
767,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,1055
768,Correct,N/A,0.6,Over-Verbose / Padding,Unnecessary Background & Commentary,212
769,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1141
770,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.6,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,1045
771,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Causal Stories,768
772,Correct,N/A,0.9,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,865
773,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,632
774,Correct,N/A,1.0,None,Unspecified,87
775,Correct,N/A,1.0,None,Unspecified,73
776,Correct,N/A,0.25,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,955
777,Correct,N/A,0.6,Over-Verbose / Padding,Redundant Restatement,243
778,Visual Perception Failure,Action / Event Misperception,0.4,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,722
779,Correct,N/A,0.5,Over-Verbose / Padding,Unnecessary Background & Commentary,342
780,Visual Perception Failure,Action / Event Misperception,0.3,Hallucination / Fabrication,Fabricated Objects or Options,286
781,Correct,N/A,0.4,Over-Verbose / Padding,Redundant Restatement,1446
782,Correct,N/A,0.4,Over-Verbose / Padding,Unnecessary Background & Commentary,1665
783,Correct,N/A,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,510
784,Correct,N/A,0.4,Over-Verbose / Padding,Excessive Narrative Detail,2128
785,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,845
786,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,397
787,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,544
788,Visual Perception Failure,Action / Event Misperception,0.4,Incorrect but Confident Reasoning,Over-Commitment to a Misread Question,1102
789,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.15,Over-Verbose / Padding,Excessive Narrative Detail,1682
790,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,344
791,Visual Perception Failure,Action / Event Misperception,0.3,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,549
792,Correct,N/A,0.8,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1565
793,Correct,N/A,0.6,Over-Verbose / Padding,Excessive Narrative Detail,2015
794,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1999
795,Correct,N/A,0.7,Over-Verbose / Padding,Redundant Restatement,1029
796,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Over-Verbose / Padding,Excessive Narrative Detail,1699
797,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1672
798,Correct,N/A,0.6,Over-Verbose / Padding,Unnecessary Background & Commentary,535
799,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1507
800,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1594
801,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.6,Incorrect but Confident Reasoning,Wrong Final Choice After Long Reasoning,610
802,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,219
803,Correct,N/A,0.7,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,773
804,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.4,Over-Verbose / Padding,Unnecessary Background & Commentary,430
805,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1904
806,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1445
807,Correct,N/A,0.5,Over-Verbose / Padding,Unnecessary Background & Commentary,2226
808,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.25,Over-Verbose / Padding,Unnecessary Background & Commentary,549
809,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,585
810,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,536
811,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Over-Verbose / Padding,Unnecessary Background & Commentary,635
812,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Hallucination / Fabrication,Fabricated Objects or Options,416
813,Correct,N/A,0.7,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1864
814,Correct,N/A,0.5,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1419
815,Correct,N/A,0.5,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,491
816,Visual Perception Failure,Action / Event Misperception,0.2,Hallucination / Fabrication,Fabricated Timeline or Events,1396
817,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,462
818,Correct,N/A,0.6,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1406
819,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,975
820,Visual Perception Failure,Action / Event Misperception,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,601
821,Correct,N/A,0.7,Over-Verbose / Padding,Over-Structured Step-by-Step for Simple Tasks,1284
822,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucination / Fabrication,Fabricated Timeline or Events,894
823,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1446
824,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1906
825,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1493
826,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2034
827,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,2019
828,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1984
829,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,1239
830,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,568
831,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,650
832,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,2499
833,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,2212
834,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1402
835,Visual Perception Failure,Object / Attribute Misrecognition,0.1,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,421
836,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1245
837,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1624
838,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,192
839,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1855
840,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1974
841,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2150
842,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1642
843,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1528
844,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1331
845,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,621
846,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1382
847,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1400
848,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2161
849,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1259
850,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1381
851,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,3655
852,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1678
853,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1344
854,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2078
855,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2036
856,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2525
857,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2868
858,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2286
859,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1630
860,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,2114
861,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Irrelevant / Off-Target Reasoning,Generic Narrative Not Tied to the Query,2043
862,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1669
863,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1397
864,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2081
865,Reasoning or Hallucination Failure,Role / Intent / Relationship Misinterpretation,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2302
866,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1401
867,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Under-Specified Grounding / Weak Localization,Temporal Imprecision or Misalignment,2101
868,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2088
869,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2052
870,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1076
871,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Under-Specified Grounding / Weak Localization,Temporal Imprecision or Misalignment,2312
872,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,3151
873,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,High-Level Insight with Misleading Fine Detail,1667
874,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Hallucination / Fabrication,Fabricated Quantitative Details,1819
875,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Hallucination / Fabrication,Fabricated Quantitative Details,2163
876,Visual Perception Failure,Action / Event Misperception,0.3,Under-Specified Grounding / Weak Localization,Temporal Imprecision or Misalignment,2150
877,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1063
878,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1396
879,Visual Perception Failure,Object / Attribute Misrecognition,0.25,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1683
880,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2507
881,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Temporal Imprecision or Misalignment,1973
882,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Incorrect but Confident Reasoning,Misinterpretation of Visual Evidence,1462
883,Visual Perception Failure,Object Presence / State Tracking Error,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,561
884,Visual Perception Failure,Action / Event Misperception,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2174
885,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1923
886,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1862
887,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1280
888,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2065
889,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1163
890,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2319
891,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.15,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,3312
892,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Temporal Imprecision or Misalignment,2089
893,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant / Off-Target Reasoning,Meta-Discussion Instead of Task Completion,1083
894,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2057
895,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1675
896,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2142
897,Visual Perception Failure,Spatial / Temporal Relation Misperception,0.4,Partially Useful but Over-Extended Reasoning,Mostly Relevant with Minor Verbosity,1254
898,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2798
899,Visual Perception Failure,Object Presence / State Tracking Error,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,1081
900,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1358
901,Visual Perception Failure,Object / Attribute Misrecognition,0.4,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1577
902,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1522
903,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Structured but Over-Detailed Justification,1955
904,Visual Perception Failure,Object Presence / State Tracking Error,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,1595
905,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,760
906,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1144
907,Visual Perception Failure,Object Presence / State Tracking Error,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,1529
908,Visual Perception Failure,Object Presence / State Tracking Error,0.2,Irrelevant / Off-Target Reasoning,Irrelevant Justification of Wrong Claims,1281
909,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1719
910,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1344
911,Visual Perception Failure,Object / Attribute Misrecognition,0.25,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,2493
912,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1923
913,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1737
914,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Irrelevant / Off-Target Reasoning,Background That Misses the Key Distinction,1829
915,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Partially Useful but Over-Extended Reasoning,Correct Identification with Extraneous Steps,1333
916,Visual Perception Failure,Object / Attribute Misrecognition,0.2,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1453
917,Visual Perception Failure,Object / Attribute Misrecognition,0.3,Under-Specified Grounding / Weak Localization,Speculative Spatial Estimation,1819
