id,l1,l2,useful_ratio,waste_label
969,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Overly Verbose but Largely Correct
970,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.05,"Refusal, Denial, or Non-Engagement"
971,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
972,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.05,"Refusal, Denial, or Non-Engagement"
973,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
974,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Overly Verbose but Largely Correct
975,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
976,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.2,"Refusal, Denial, or Non-Engagement"
977,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
978,Visual Perception Failure,Action / Event Misperception,0.3,"Refusal, Denial, or Non-Engagement"
979,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
980,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
981,Correct,N/A,0.9,Minor Redundancy and Repetition
982,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
983,Correct,N/A,0.02,Overly Verbose but Largely Correct
984,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant or Off-Task Discussion
985,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.2,Hallucinated or Incorrect Reasoning
986,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
987,Visual Perception Failure,Object Presence / State Tracking Error,0.6,Minor Redundancy and Repetition
988,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.3,Overly Verbose but Largely Correct
989,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant or Off-Task Discussion
990,Reasoning or Hallucination Failure,Hallucinated Narrative or Details,0.1,Hallucinated or Incorrect Reasoning
991,Correct,N/A,0.7,Minor Redundancy and Repetition
992,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
993,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Hallucinated or Incorrect Reasoning
994,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
995,Correct,N/A,0.6,Overly Verbose but Largely Correct
996,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
997,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Hallucinated or Incorrect Reasoning
998,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
999,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
1000,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Hallucinated or Incorrect Reasoning
1001,Correct,N/A,0.7,Minor Redundancy and Repetition
1002,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.4,Overly Verbose but Largely Correct
1003,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,"Refusal, Denial, or Non-Engagement"
1004,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Speculative Guessing and Coordinate Padding
1005,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
1006,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.3,Overly Verbose but Largely Correct
1007,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.6,Overly Verbose but Largely Correct
1008,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.7,Overly Verbose but Largely Correct
1009,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.5,Minor Redundancy and Repetition
1010,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.4,Speculative Guessing and Coordinate Padding
1011,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,"Refusal, Denial, or Non-Engagement"
1012,Visual Perception Failure,Text / Symbol / Fine-detail Misreading,0.2,Hallucinated or Incorrect Reasoning
1013,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,"Refusal, Denial, or Non-Engagement"
1014,Visual Perception Failure,Action / Event Misperception,0.4,Minor Redundancy and Repetition
1015,Visual Perception Failure,Action / Event Misperception,0.1,Hallucinated or Incorrect Reasoning
1016,Visual Perception Failure,Action / Event Misperception,0.2,Hallucinated or Incorrect Reasoning
1017,Visual Perception Failure,Action / Event Misperception,0.8,Hallucinated or Incorrect Reasoning
1018,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Minor Redundancy and Repetition
1019,Visual Perception Failure,Action / Event Misperception,0.2,"Refusal, Denial, or Non-Engagement"
1020,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Overly Verbose but Largely Correct
1021,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,"Refusal, Denial, or Non-Engagement"
1022,Correct,N/A,0.7,Minor Redundancy and Repetition
1023,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.8,Overly Verbose but Largely Correct
1024,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.4,Hallucinated or Incorrect Reasoning
1025,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.3,Irrelevant or Off-Task Discussion
1026,Visual Perception Failure,Action / Event Misperception,0.2,"Refusal, Denial, or Non-Engagement"
1027,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.1,Irrelevant or Off-Task Discussion
1028,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Irrelevant or Off-Task Discussion
1029,Reasoning or Hallucination Failure,Counterfactual or Instruction-Ignoring Reasoning,0.2,Speculative Guessing and Coordinate Padding
1030,Reasoning or Hallucination Failure,Causal / Temporal Logic Error,0.7,Hallucinated or Incorrect Reasoning
1031,Correct,N/A,0.7,Minor Redundancy and Repetition
1032,Visual Perception Failure,Action / Event Misperception,0.2,"Refusal, Denial, or Non-Engagement"
1033,Reasoning or Hallucination Failure,Counting / Aggregation Reasoning Error,0.9,Hallucinated or Incorrect Reasoning
